run_id,destruction_pct,protocol,accuracy
1,0,ours,94.76190476190476
2,0,ours,93.80952380952381
3,0,ours,94.28571428571428
4,0,ours,93.33333333333333
5,0,ours,93.80952380952381
6,0,ours,94.28571428571428
7,0,ours,93.80952380952381
8,0,ours,94.28571428571428
9,0,ours,93.33333333333333
10,0,ours,94.76190476190476
11,0,ours,94.76190476190476
12,0,ours,94.76190476190476
13,0,ours,94.28571428571428
14,0,ours,93.33333333333333
15,0,ours,93.80952380952381
16,0,ours,93.80952380952381
17,0,ours,93.80952380952381
18,0,ours,94.28571428571428
19,0,ours,94.76190476190476
20,0,ours,93.33333333333333
21,0,ours,93.80952380952381
22,0,ours,93.80952380952381
23,0,ours,94.28571428571428
24,0,ours,93.80952380952381
25,0,ours,94.76190476190476
26,0,ours,93.80952380952381
27,0,ours,94.28571428571428
28,0,ours,94.76190476190476
29,0,ours,93.33333333333333
30,0,ours,93.80952380952381
31,20,ours,95.23809523809523
32,20,ours,75.71428571428571
33,20,ours,83.80952380952381
34,20,ours,56.19047619047619
35,20,ours,56.666666666666664
36,20,ours,65.71428571428571
37,20,ours,84.76190476190476
38,20,ours,84.28571428571429
39,20,ours,65.71428571428571
40,20,ours,75.71428571428571
41,20,ours,95.23809523809523
42,20,ours,56.666666666666664
43,20,ours,65.71428571428571
44,20,ours,75.71428571428571
45,20,ours,85.23809523809524
46,20,ours,56.666666666666664
47,20,ours,93.80952380952381
48,20,ours,84.28571428571429
49,20,ours,65.23809523809524
50,20,ours,66.19047619047619
51,20,ours,83.80952380952381
52,20,ours,65.71428571428571
53,20,ours,74.76190476190476
54,20,ours,94.28571428571428
55,20,ours,95.23809523809523
56,20,ours,84.76190476190476
57,20,ours,84.76190476190476
58,20,ours,74.76190476190476
59,20,ours,94.28571428571428
60,20,ours,74.76190476190476
61,40,ours,47.61904761904761
62,40,ours,83.80952380952381
63,40,ours,55.23809523809524
64,40,ours,74.28571428571429
65,40,ours,66.19047619047619
66,40,ours,37.61904761904762
67,40,ours,65.71428571428571
68,40,ours,37.61904761904762
69,40,ours,56.666666666666664
70,40,ours,65.71428571428571
71,40,ours,56.19047619047619
72,40,ours,56.19047619047619
73,40,ours,65.23809523809524
74,40,ours,75.23809523809524
75,40,ours,56.19047619047619
76,40,ours,84.76190476190476
77,40,ours,75.71428571428571
78,40,ours,94.28571428571428
79,40,ours,66.19047619047619
80,40,ours,47.61904761904761
81,40,ours,57.14285714285714
82,40,ours,66.19047619047619
83,40,ours,56.19047619047619
84,40,ours,37.61904761904762
85,40,ours,56.666666666666664
86,40,ours,66.19047619047619
87,40,ours,47.14285714285714
88,40,ours,56.666666666666664
89,40,ours,65.71428571428571
90,40,ours,55.23809523809524
91,60,ours,56.666666666666664
92,60,ours,36.666666666666664
93,60,ours,27.61904761904762
94,60,ours,47.61904761904761
95,60,ours,56.666666666666664
96,60,ours,38.095238095238095
97,60,ours,56.666666666666664
98,60,ours,28.095238095238095
99,60,ours,28.57142857142857
100,60,ours,47.14285714285714
101,60,ours,47.14285714285714
102,60,ours,46.666666666666664
103,60,ours,28.095238095238095
104,60,ours,37.61904761904762
105,60,ours,38.095238095238095
106,60,ours,28.57142857142857
107,60,ours,19.047619047619047
108,60,ours,38.095238095238095
109,60,ours,38.095238095238095
110,60,ours,47.14285714285714
111,60,ours,28.095238095238095
112,60,ours,19.047619047619047
113,60,ours,65.71428571428571
114,60,ours,46.666666666666664
115,60,ours,47.14285714285714
116,60,ours,28.095238095238095
117,60,ours,28.095238095238095
118,60,ours,38.095238095238095
119,60,ours,37.61904761904762
120,60,ours,28.095238095238095
121,0,tbcp,47.61904761904761
122,0,tbcp,38.095238095238095
123,0,tbcp,38.095238095238095
124,0,tbcp,95.23809523809523
125,0,tbcp,47.61904761904761
126,0,tbcp,38.095238095238095
127,0,tbcp,76.19047619047619
128,0,tbcp,57.14285714285714
129,0,tbcp,76.19047619047619
130,0,tbcp,66.66666666666666
131,0,tbcp,66.66666666666666
132,0,tbcp,47.61904761904761
133,0,tbcp,66.66666666666666
134,0,tbcp,47.61904761904761
135,0,tbcp,47.61904761904761
136,0,tbcp,66.66666666666666
137,0,tbcp,66.66666666666666
138,0,tbcp,47.61904761904761
139,0,tbcp,28.57142857142857
140,0,tbcp,66.66666666666666
141,0,tbcp,47.61904761904761
142,0,tbcp,85.71428571428571
143,0,tbcp,76.19047619047619
144,0,tbcp,66.66666666666666
145,0,tbcp,76.19047619047619
146,0,tbcp,57.14285714285714
147,0,tbcp,85.71428571428571
148,0,tbcp,66.66666666666666
149,0,tbcp,38.095238095238095
150,0,tbcp,76.19047619047619
151,0,tbcp,85.71428571428571
152,0,tbcp,66.66666666666666
153,0,tbcp,66.66666666666666
154,0,tbcp,57.14285714285714
155,0,tbcp,66.66666666666666
156,0,tbcp,57.14285714285714
157,0,tbcp,47.61904761904761
158,0,tbcp,47.61904761904761
159,0,tbcp,47.61904761904761
160,0,tbcp,76.19047619047619
161,0,tbcp,66.66666666666666
162,0,tbcp,66.66666666666666
163,0,tbcp,38.095238095238095
164,0,tbcp,85.71428571428571
165,0,tbcp,57.14285714285714
166,0,tbcp,85.71428571428571
167,0,tbcp,28.57142857142857
168,0,tbcp,66.66666666666666
169,0,tbcp,73.07692307692307
170,20,tbcp,63.49206349206349
171,20,tbcp,59.523809523809526
172,20,tbcp,84.65608465608466
173,20,tbcp,81.63265306122449
174,20,tbcp,47.61904761904761
175,20,tbcp,71.42857142857143
176,20,tbcp,71.42857142857143
177,20,tbcp,59.523809523809526
178,20,tbcp,71.42857142857143
179,20,tbcp,81.63265306122449
180,20,tbcp,83.33333333333334
181,20,tbcp,81.63265306122449
182,20,tbcp,83.33333333333334
183,20,tbcp,54.421768707483
184,20,tbcp,52.910052910052904
185,20,tbcp,57.14285714285714
186,20,tbcp,74.07407407407408
187,20,tbcp,76.19047619047619
188,20,tbcp,71.42857142857143
189,20,tbcp,85.71428571428571
190,20,tbcp,59.523809523809526
191,20,tbcp,76.19047619047619
192,20,tbcp,63.49206349206349
193,20,tbcp,79.36507936507937
194,20,tbcp,59.523809523809526
195,20,tbcp,54.421768707483
196,20,tbcp,63.49206349206349
197,20,tbcp,68.02721088435374
198,20,tbcp,52.910052910052904
199,20,tbcp,54.421768707483
200,40,tbcp,57.14285714285714
201,40,tbcp,47.61904761904761
202,40,tbcp,71.42857142857143
203,40,tbcp,54.421768707483
204,40,tbcp,63.49206349206349
205,40,tbcp,57.14285714285714
206,40,tbcp,63.49206349206349
207,40,tbcp,95.23809523809523
208,40,tbcp,47.61904761904761
209,40,tbcp,31.746031746031743
210,40,tbcp,52.910052910052904
211,40,tbcp,71.42857142857143
212,40,tbcp,54.421768707483
213,40,tbcp,23.809523809523807
214,40,tbcp,54.421768707483
215,40,tbcp,47.61904761904761
